INFO 2025-05-18 15:36:13,882 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-18 15:36:13,884 autoreload Waiting for apps ready_event.
DEBUG 2025-05-18 15:36:17,668 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-18 15:36:17,704 autoreload Watching dir C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2025-05-18 15:36:17,704 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\app\templates with glob **/*.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,705 autoreload Watching dir D:\UNGDUNGDANENTANG\websitebanhangpython\app\locale with glob **/*.mo.
DEBUG 2025-05-18 15:36:17,839 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-05-18 15:36:17,845 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-05-18 15:36:18,259 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\models\_meta.py first seen with mtime 1746878651.204338
DEBUG 2025-05-18 15:36:18,260 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\printing\julia.py first seen with mtime 1746878575.7235365
DEBUG 2025-05-18 15:36:18,260 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\datasets\imagenet.py first seen with mtime 1746878651.2808614
DEBUG 2025-05-18 15:36:18,260 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\redis\_parsers\commands.py first seen with mtime 1747074175.7826507
DEBUG 2025-05-18 15:36:18,260 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_dynamo\comptime.py first seen with mtime 1747058769.1521459
DEBUG 2025-05-18 15:36:18,261 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\mimetypes.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,261 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_functorch\_aot_autograd\dispatch_and_compile_graph.py first seen with mtime 1747058769.3186522
DEBUG 2025-05-18 15:36:18,261 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\_functorch\deprecated.py first seen with mtime 1747058769.3011563
DEBUG 2025-05-18 15:36:18,262 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\compat\py3k.py first seen with mtime 1709440716.3248546
DEBUG 2025-05-18 15:36:18,262 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\cli.py first seen with mtime 1740330898.5787084
DEBUG 2025-05-18 15:36:18,262 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\calculus\differentiation.py first seen with mtime 1740480431.6123216
DEBUG 2025-05-18 15:36:18,262 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\distributed\_shard\sharded_tensor\_ops\__init__.py first seen with mtime 1747058769.9745564
DEBUG 2025-05-18 15:36:18,262 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\functions\rszeta.py first seen with mtime 1740480431.6552267
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\algorithms\boundary.py first seen with mtime 1740480478.5886962
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\nested\_internal\__init__.py first seen with mtime 1747058808.4300804
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\matrices\expressions\__init__.py first seen with mtime 1746878575.1926875
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1740334990.6298468
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\rational.py first seen with mtime 1740480431.5936792
DEBUG 2025-05-18 15:36:18,263 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\onnx\_internal\exporter\__init__.py first seen with mtime 1747058808.618669
DEBUG 2025-05-18 15:36:18,264 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\plotting\intervalmath\lib_interval.py first seen with mtime 1746878575.5385058
DEBUG 2025-05-18 15:36:18,264 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\logic\__init__.py first seen with mtime 1746878575.1626878
DEBUG 2025-05-18 15:36:18,264 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\algorithms\components\attracting.py first seen with mtime 1740480478.9204152
DEBUG 2025-05-18 15:36:18,264 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\distributed\tensor\parallel\style.py first seen with mtime 1747058770.2016761
DEBUG 2025-05-18 15:36:18,265 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py first seen with mtime 1692863950.0
DEBUG 2025-05-18 15:36:18,265 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_common.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,265 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\utils\_pytree.py first seen with mtime 1747058808.920189
DEBUG 2025-05-18 15:36:18,265 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\utils\_cxx_pytree.py first seen with mtime 1747058808.9111848
DEBUG 2025-05-18 15:36:18,265 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_legacy.py first seen with mtime 1692863952.0
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\ao\nn\quantized\reference\modules\rnn.py first seen with mtime 1747058769.688275
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\datasets\folder.py first seen with mtime 1746878651.2838612
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\networkx\algorithms\flow\__init__.py first seen with mtime 1740480478.9741676
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Roaming\Python\Python311\site-packages\torch\fx\experimental\_config.py first seen with mtime 1747058770.2714722
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\external\importtools.py first seen with mtime 1746878575.042591
DEBUG 2025-05-18 15:36:18,266 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1740334990.5673537
DEBUG 2025-05-18 15:36:18,267 autoreload File C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\version.py first seen with mtime 1746878651.1118226
